Results of experiments stored in: ./experiments/CartPole-v1_4
Episode: 1, exploration: 1.0, score: 15.0
Episode: 98, exploration: 0.12, score: 209.0
Scores: (min: 9.0, avg: 103.1938775510204, max: 345.0)

Episode: 99, exploration: 0.12, score: 247.0
Scores: (min: 9.0, avg: 104.64646464646465, max: 345.0)

Episode: 100, exploration: 0.12, score: 251.0
Scores: (min: 9.0, avg: 106.11, max: 345.0)

Episode: 101, exploration: 0.12, score: 202.0
Scores: (min: 9.0, avg: 107.98, max: 345.0)

Episode: 102, exploration: 0.12, score: 321.0
Scores: (min: 9.0, avg: 111.06, max: 345.0)

Episode: 103, exploration: 0.12, score: 244.0
Scores: (min: 9.0, avg: 113.15, max: 345.0)

Episode: 104, exploration: 0.12, score: 241.0
Scores: (min: 9.0, avg: 115.3, max: 345.0)

Episode: 105, exploration: 0.12, score: 198.0
Scores: (min: 9.0, avg: 117.06, max: 345.0)

Episode: 106, exploration: 0.12, score: 256.0
Scores: (min: 9.0, avg: 119.5, max: 345.0)

Episode: 107, exploration: 0.12, score: 267.0
Scores: (min: 9.0, avg: 121.96, max: 345.0)

Episode: 108, exploration: 0.12, score: 159.0
Scores: (min: 9.0, avg: 123.46, max: 345.0)

Episode: 109, exploration: 0.12, score: 305.0
Scores: (min: 9.0, avg: 126.36, max: 345.0)

Episode: 110, exploration: 0.12, score: 220.0
Scores: (min: 9.0, avg: 128.27, max: 345.0)

Episode: 111, exploration: 0.12, score: 389.0
Scores: (min: 9.0, avg: 131.57, max: 389.0)

Episode: 112, exploration: 0.12, score: 276.0
Scores: (min: 9.0, avg: 134.09, max: 389.0)

Episode: 113, exploration: 0.12, score: 200.0
Scores: (min: 9.0, avg: 135.88, max: 389.0)

Episode: 114, exploration: 0.12, score: 220.0
Scores: (min: 9.0, avg: 137.86, max: 389.0)

Episode: 115, exploration: 0.12, score: 232.0
Scores: (min: 11.0, avg: 140.09, max: 389.0)

Episode: 116, exploration: 0.12, score: 221.0
Scores: (min: 11.0, avg: 142.14, max: 389.0)

Episode: 117, exploration: 0.12, score: 236.0
Scores: (min: 11.0, avg: 144.14, max: 389.0)

Episode: 118, exploration: 0.12, score: 229.0
Scores: (min: 11.0, avg: 146.1, max: 389.0)

Episode: 119, exploration: 0.12, score: 257.0
Scores: (min: 11.0, avg: 148.56, max: 389.0)

Episode: 120, exploration: 0.12, score: 232.0
Scores: (min: 11.0, avg: 150.71, max: 389.0)

Episode: 121, exploration: 0.12, score: 325.0
Scores: (min: 11.0, avg: 153.75, max: 389.0)

Episode: 122, exploration: 0.12, score: 239.0
Scores: (min: 11.0, avg: 155.99, max: 389.0)

Episode: 123, exploration: 0.12, score: 227.0
Scores: (min: 11.0, avg: 157.44, max: 389.0)

Episode: 124, exploration: 0.12, score: 221.0
Scores: (min: 11.0, avg: 159.35, max: 389.0)

Episode: 125, exploration: 0.12, score: 361.0
Scores: (min: 11.0, avg: 162.63, max: 389.0)

Episode: 126, exploration: 0.12, score: 258.0
Scores: (min: 11.0, avg: 165.07, max: 389.0)

Episode: 127, exploration: 0.12, score: 265.0
Scores: (min: 11.0, avg: 167.61, max: 389.0)

Episode: 128, exploration: 0.12, score: 301.0
Scores: (min: 11.0, avg: 169.97, max: 389.0)

Episode: 129, exploration: 0.12, score: 299.0
Scores: (min: 11.0, avg: 172.61, max: 389.0)

Episode: 130, exploration: 0.12, score: 283.0
Scores: (min: 11.0, avg: 174.77, max: 389.0)

Episode: 131, exploration: 0.12, score: 425.0
Scores: (min: 11.0, avg: 178.38, max: 425.0)

Best model replaced
Episode: 132, exploration: 0.12, score: 101.0
Scores: (min: 11.0, avg: 179.02, max: 425.0)

Episode: 133, exploration: 0.12, score: 308.0
Scores: (min: 11.0, avg: 181.86, max: 425.0)

Episode: 134, exploration: 0.12, score: 242.0
Scores: (min: 14.0, avg: 184.17, max: 425.0)

Episode: 135, exploration: 0.12, score: 277.0
Scores: (min: 14.0, avg: 186.35, max: 425.0)

Episode: 136, exploration: 0.12, score: 254.0
Scores: (min: 14.0, avg: 188.68, max: 425.0)

Episode: 137, exploration: 0.12, score: 325.0
Scores: (min: 14.0, avg: 191.62, max: 425.0)

Episode: 138, exploration: 0.12, score: 268.0
Scores: (min: 14.0, avg: 193.62, max: 425.0)

Episode: 139, exploration: 0.12, score: 305.0
Scores: (min: 14.0, avg: 195.39, max: 425.0)

Episode: 140, exploration: 0.12, score: 187.0
Scores: (min: 14.0, avg: 197.01, max: 425.0)

Episode: 141, exploration: 0.12, score: 417.0
Scores: (min: 14.0, avg: 200.25, max: 425.0)

Episode: 142, exploration: 0.12, score: 275.0
Scores: (min: 14.0, avg: 202.79, max: 425.0)

Episode: 143, exploration: 0.12, score: 276.0
Scores: (min: 14.0, avg: 204.35, max: 425.0)

Episode: 144, exploration: 0.12, score: 369.0
Scores: (min: 14.0, avg: 207.76, max: 425.0)

Episode: 145, exploration: 0.12, score: 306.0
Scores: (min: 14.0, avg: 210.28, max: 425.0)

Episode: 146, exploration: 0.12, score: 204.0
Scores: (min: 17.0, avg: 212.18, max: 425.0)

Episode: 147, exploration: 0.12, score: 226.0
Scores: (min: 17.0, avg: 214.25, max: 425.0)

Episode: 148, exploration: 0.12, score: 201.0
Scores: (min: 17.0, avg: 215.59, max: 425.0)

Episode: 149, exploration: 0.12, score: 456.0
Scores: (min: 17.0, avg: 219.91, max: 456.0)

Best model replaced
Episode: 150, exploration: 0.12, score: 446.0
Scores: (min: 17.0, avg: 223.58, max: 456.0)

Best model replaced
Episode: 151, exploration: 0.12, score: 173.0
Scores: (min: 17.0, avg: 224.98, max: 456.0)

Episode: 152, exploration: 0.12, score: 302.0
Scores: (min: 17.0, avg: 227.64, max: 456.0)

Episode: 153, exploration: 0.12, score: 271.0
Scores: (min: 17.0, avg: 230.0, max: 456.0)

Episode: 154, exploration: 0.12, score: 227.0
Scores: (min: 17.0, avg: 231.59, max: 456.0)

Episode: 155, exploration: 0.12, score: 315.0
Scores: (min: 17.0, avg: 234.16, max: 456.0)

Episode: 156, exploration: 0.12, score: 218.0
Scores: (min: 17.0, avg: 235.82, max: 456.0)

Episode: 157, exploration: 0.12, score: 242.0
Scores: (min: 17.0, avg: 237.79, max: 456.0)

Episode: 158, exploration: 0.12, score: 314.0
Scores: (min: 17.0, avg: 239.55, max: 456.0)

Episode: 159, exploration: 0.12, score: 236.0
Scores: (min: 17.0, avg: 241.55, max: 456.0)

Episode: 160, exploration: 0.12, score: 412.0
Scores: (min: 17.0, avg: 244.38, max: 456.0)

Episode: 161, exploration: 0.12, score: 405.0
Scores: (min: 21.0, avg: 248.26, max: 456.0)

Episode: 162, exploration: 0.12, score: 295.0
Scores: (min: 21.0, avg: 249.87, max: 456.0)

Episode: 163, exploration: 0.12, score: 20.0
Scores: (min: 20.0, avg: 247.83, max: 456.0)

Episode: 164, exploration: 0.12, score: 500.0
Scores: (min: 20.0, avg: 251.5, max: 500.0)

Best model replaced
Episode: 165, exploration: 0.12, score: 235.0
Scores: (min: 20.0, avg: 251.98, max: 500.0)

Episode: 166, exploration: 0.12, score: 289.0
Scores: (min: 20.0, avg: 254.57, max: 500.0)

Episode: 167, exploration: 0.12, score: 238.0
Scores: (min: 20.0, avg: 256.68, max: 500.0)

Episode: 168, exploration: 0.12, score: 216.0
Scores: (min: 20.0, avg: 257.33, max: 500.0)

Episode: 169, exploration: 0.12, score: 386.0
Scores: (min: 20.0, avg: 260.98, max: 500.0)

Episode: 170, exploration: 0.12, score: 94.0
Scores: (min: 20.0, avg: 260.05, max: 500.0)

Episode: 171, exploration: 0.12, score: 476.0
Scores: (min: 20.0, avg: 261.39, max: 500.0)

Best model replaced
Episode: 172, exploration: 0.12, score: 272.0
Scores: (min: 20.0, avg: 262.06, max: 500.0)

Episode: 173, exploration: 0.12, score: 269.0
Scores: (min: 20.0, avg: 263.14, max: 500.0)

Episode: 174, exploration: 0.12, score: 250.0
Scores: (min: 20.0, avg: 263.41, max: 500.0)

Episode: 175, exploration: 0.12, score: 237.0
Scores: (min: 20.0, avg: 263.87, max: 500.0)

Episode: 176, exploration: 0.12, score: 325.0
Scores: (min: 20.0, avg: 264.61, max: 500.0)

Episode: 177, exploration: 0.12, score: 247.0
Scores: (min: 20.0, avg: 264.53, max: 500.0)

Episode: 178, exploration: 0.12, score: 205.0
Scores: (min: 20.0, avg: 264.09, max: 500.0)

Episode: 179, exploration: 0.12, score: 248.0
Scores: (min: 20.0, avg: 264.61, max: 500.0)

Episode: 180, exploration: 0.12, score: 207.0
Scores: (min: 20.0, avg: 263.36, max: 500.0)

Episode: 181, exploration: 0.12, score: 348.0
Scores: (min: 20.0, avg: 264.14, max: 500.0)

Episode: 182, exploration: 0.12, score: 218.0
Scores: (min: 20.0, avg: 264.89, max: 500.0)

Episode: 183, exploration: 0.12, score: 280.0
Scores: (min: 20.0, avg: 265.07, max: 500.0)

Episode: 184, exploration: 0.12, score: 261.0
Scores: (min: 20.0, avg: 265.17, max: 500.0)

Episode: 185, exploration: 0.12, score: 233.0
Scores: (min: 20.0, avg: 264.12, max: 500.0)

Episode: 186, exploration: 0.12, score: 208.0
Scores: (min: 20.0, avg: 264.53, max: 500.0)

Episode: 187, exploration: 0.12, score: 234.0
Scores: (min: 20.0, avg: 264.79, max: 500.0)

Episode: 188, exploration: 0.12, score: 464.0
Scores: (min: 20.0, avg: 267.02, max: 500.0)

Best model replaced
Episode: 189, exploration: 0.12, score: 483.0
Scores: (min: 20.0, avg: 269.75, max: 500.0)

Best model replaced
Episode: 190, exploration: 0.12, score: 295.0
Scores: (min: 20.0, avg: 270.52, max: 500.0)

Episode: 191, exploration: 0.12, score: 113.0
Scores: (min: 20.0, avg: 269.88, max: 500.0)

Episode: 192, exploration: 0.12, score: 264.0
Scores: (min: 20.0, avg: 270.47, max: 500.0)

Episode: 193, exploration: 0.12, score: 221.0
Scores: (min: 20.0, avg: 270.35, max: 500.0)

Episode: 194, exploration: 0.12, score: 272.0
Scores: (min: 20.0, avg: 270.87, max: 500.0)

Episode: 195, exploration: 0.12, score: 353.0
Scores: (min: 20.0, avg: 272.16, max: 500.0)

Episode: 196, exploration: 0.12, score: 340.0
Scores: (min: 20.0, avg: 273.15, max: 500.0)

Episode: 197, exploration: 0.12, score: 294.0
Scores: (min: 20.0, avg: 272.64, max: 500.0)

Episode: 198, exploration: 0.12, score: 246.0
Scores: (min: 20.0, avg: 273.01, max: 500.0)

Episode: 199, exploration: 0.12, score: 135.0
Scores: (min: 20.0, avg: 271.89, max: 500.0)

Episode: 200, exploration: 0.12, score: 121.0
Scores: (min: 20.0, avg: 270.59, max: 500.0)

Episode: 201, exploration: 0.12, score: 176.0
Scores: (min: 20.0, avg: 270.33, max: 500.0)

Episode: 202, exploration: 0.12, score: 275.0
Scores: (min: 20.0, avg: 269.87, max: 500.0)

Episode: 203, exploration: 0.12, score: 300.0
Scores: (min: 20.0, avg: 270.43, max: 500.0)

Episode: 204, exploration: 0.12, score: 283.0
Scores: (min: 20.0, avg: 270.85, max: 500.0)

Episode: 205, exploration: 0.12, score: 245.0
Scores: (min: 20.0, avg: 271.32, max: 500.0)

Episode: 206, exploration: 0.12, score: 281.0
Scores: (min: 20.0, avg: 271.57, max: 500.0)

Episode: 207, exploration: 0.12, score: 500.0
Scores: (min: 20.0, avg: 273.9, max: 500.0)

Best model replaced
Episode: 208, exploration: 0.12, score: 56.0
Scores: (min: 20.0, avg: 272.87, max: 500.0)

Episode: 209, exploration: 0.12, score: 148.0
Scores: (min: 20.0, avg: 271.3, max: 500.0)

Episode: 210, exploration: 0.12, score: 149.0
Scores: (min: 20.0, avg: 270.59, max: 500.0)

Episode: 211, exploration: 0.12, score: 333.0
Scores: (min: 20.0, avg: 270.03, max: 500.0)

Episode: 212, exploration: 0.12, score: 152.0
Scores: (min: 20.0, avg: 268.79, max: 500.0)

Episode: 213, exploration: 0.12, score: 212.0
Scores: (min: 20.0, avg: 268.91, max: 500.0)

Episode: 214, exploration: 0.12, score: 230.0
Scores: (min: 20.0, avg: 269.01, max: 500.0)

Episode: 215, exploration: 0.12, score: 203.0
Scores: (min: 20.0, avg: 268.72, max: 500.0)

Episode: 216, exploration: 0.12, score: 35.0
Scores: (min: 20.0, avg: 266.86, max: 500.0)

Episode: 217, exploration: 0.12, score: 215.0
Scores: (min: 20.0, avg: 266.65, max: 500.0)

Episode: 218, exploration: 0.12, score: 256.0
Scores: (min: 20.0, avg: 266.92, max: 500.0)

Episode: 219, exploration: 0.12, score: 470.0
Scores: (min: 20.0, avg: 269.05, max: 500.0)

Episode: 220, exploration: 0.12, score: 280.0
Scores: (min: 20.0, avg: 269.53, max: 500.0)

Episode: 221, exploration: 0.12, score: 320.0
Scores: (min: 20.0, avg: 269.48, max: 500.0)

Episode: 222, exploration: 0.12, score: 297.0
Scores: (min: 20.0, avg: 270.06, max: 500.0)

Episode: 223, exploration: 0.12, score: 313.0
Scores: (min: 20.0, avg: 270.92, max: 500.0)

Episode: 224, exploration: 0.12, score: 184.0
Scores: (min: 20.0, avg: 270.55, max: 500.0)

Episode: 225, exploration: 0.12, score: 296.0
Scores: (min: 20.0, avg: 269.9, max: 500.0)

Episode: 226, exploration: 0.12, score: 311.0
Scores: (min: 20.0, avg: 270.43, max: 500.0)

Episode: 227, exploration: 0.12, score: 343.0
Scores: (min: 20.0, avg: 271.21, max: 500.0)

Episode: 228, exploration: 0.12, score: 153.0
Scores: (min: 20.0, avg: 269.73, max: 500.0)

Episode: 229, exploration: 0.12, score: 206.0
Scores: (min: 20.0, avg: 268.8, max: 500.0)

Episode: 230, exploration: 0.12, score: 202.0
Scores: (min: 20.0, avg: 267.99, max: 500.0)

Episode: 231, exploration: 0.12, score: 207.0
Scores: (min: 20.0, avg: 265.81, max: 500.0)

Episode: 232, exploration: 0.12, score: 271.0
Scores: (min: 20.0, avg: 267.51, max: 500.0)

Episode: 233, exploration: 0.12, score: 244.0
Scores: (min: 20.0, avg: 266.87, max: 500.0)

Episode: 234, exploration: 0.12, score: 45.0
Scores: (min: 20.0, avg: 264.9, max: 500.0)

Episode: 235, exploration: 0.12, score: 454.0
Scores: (min: 20.0, avg: 266.67, max: 500.0)

Episode: 236, exploration: 0.12, score: 266.0
Scores: (min: 20.0, avg: 266.79, max: 500.0)

Episode: 237, exploration: 0.12, score: 500.0
Scores: (min: 20.0, avg: 268.54, max: 500.0)

Episode: 238, exploration: 0.12, score: 99.0
Scores: (min: 20.0, avg: 266.85, max: 500.0)

Episode: 239, exploration: 0.12, score: 489.0
Scores: (min: 20.0, avg: 268.69, max: 500.0)

Episode: 240, exploration: 0.12, score: 207.0
Scores: (min: 20.0, avg: 268.89, max: 500.0)

Episode: 241, exploration: 0.12, score: 105.0
Scores: (min: 20.0, avg: 265.77, max: 500.0)

Episode: 242, exploration: 0.12, score: 419.0
Scores: (min: 20.0, avg: 267.21, max: 500.0)

Episode: 243, exploration: 0.12, score: 236.0
Scores: (min: 20.0, avg: 266.81, max: 500.0)

Episode: 244, exploration: 0.12, score: 327.0
Scores: (min: 20.0, avg: 266.39, max: 500.0)

Episode: 245, exploration: 0.12, score: 203.0
Scores: (min: 20.0, avg: 265.36, max: 500.0)

Episode: 246, exploration: 0.12, score: 161.0
Scores: (min: 20.0, avg: 264.93, max: 500.0)

Episode: 247, exploration: 0.12, score: 219.0
Scores: (min: 20.0, avg: 264.86, max: 500.0)

Episode: 248, exploration: 0.12, score: 265.0
Scores: (min: 20.0, avg: 265.5, max: 500.0)

Episode: 249, exploration: 0.12, score: 244.0
Scores: (min: 20.0, avg: 263.38, max: 500.0)

Episode: 250, exploration: 0.12, score: 144.0
Scores: (min: 20.0, avg: 260.36, max: 500.0)

Episode: 251, exploration: 0.12, score: 434.0
Scores: (min: 20.0, avg: 262.97, max: 500.0)

Episode: 252, exploration: 0.12, score: 247.0
Scores: (min: 20.0, avg: 262.42, max: 500.0)

